,InAcc ID, 2020 total amount ,GSC Top3,GSC Top3 pct,GSC Recommendation Top3
403,153829," 23,420 ",FTR - OEM REINFORCED FILAMENT TAPE,1,"('FTM - POLYESTER FILM TAPES', 5117.3855249021535)('FSD - SPECIALTY FOIL TAPES', 4491.567407264188)('FSB - COPPER FOIL TAPES', 4286.001198145492)"
1859,293856," 23,339 ",FJZ - MISC PRODUCT - POWER PROD,1,"('FIT - SILICONE TAPE', 4564.135744773174)('FJI - SEPARABLE CONNECTORS', 4130.459785033724)('FIP - ARC PROOFING TAPE', 4071.3223648203025)"
3657,320017," 23,339 ",FJZ - MISC PRODUCT - POWER PROD,1,"('FIT - SILICONE TAPE', 4564.135744773174)('FJI - SEPARABLE CONNECTORS', 4130.459785033724)('FIP - ARC PROOFING TAPE', 4071.3223648203025)"
3710,320489," 23,339 ",FJZ - MISC PRODUCT - POWER PROD,1,"('FIT - SILICONE TAPE', 4564.1161499129785)('FJI - SEPARABLE CONNECTORS', 4130.442052041859)('FIP - ARC PROOFING TAPE', 4071.3048857186686)"
1269,278936," 23,209 ","FJL - QTII,RUBBER, PORCELAIN TERMI,FJF - QSIII & QS-2000 SPLICES,FJM - QTIII RUBBER TERMINATIONS",1,"('FJI - SEPARABLE CONNECTORS', 4808.143321797259)('FJC - ENERGY RESINS', 3297.509764146664)('FJZ - MISC PRODUCT - POWER PROD', 3296.709750029681)"
1129,270168," 23,194 ",FIP - ARC PROOFING TAPE,1,"('FIN - ALL MASTICS', 4623.962515340028)('FJZ - MISC PRODUCT - POWER PROD', 4045.9672009225246)('FIT - SILICONE TAPE', 2902.849582668824)"
2617,302927," 23,047 ",GGM - POINT MARKERS - POWER,1,"('FJC - ENERGY RESINS', 1134.0736514872299)('FIQ - TAPE TERM/SPLICING KITS', 1088.87312573637)('FJI - SEPARABLE CONNECTORS', 862.5160400489585)"
1505,286596," 22,938 ",FID - GENERAL USE VINYL-BLACK,1,"('FIN - ALL MASTICS', 3412.912949913932)('FIC - 33 VINYL TAPE', 2591.3146817924144)('FIL - 23 RUBBER TAPE', 2348.975531933962)"
949,251782," 22,931 ",FID - GENERAL USE VINYL-BLACK,1,"('FIN - ALL MASTICS', 3411.959397952444)('FIC - 33 VINYL TAPE', 2590.590680555372)('FIL - 23 RUBBER TAPE', 2348.3192391251987)"
398,153807," 22,919 ","FID - GENERAL USE VINYL-BLACK,FKK - COMFORT GRIP GLOVES,FKM - AEROSOLS,SCOTCHKOTE",1,"('FIN - ALL MASTICS', 2795.271161064907)('FIC - 33 VINYL TAPE', 2359.382565779182)('FIE - 35 VINYL TAPE', 2301.8287909356313)"
